id,index,commonNameZh,scientificName,icon_path,photo_url,photo_cache,icon_top_colors,photo_top_colors,color_distance,icon_complexity,photo_complexity,complexity_gap,risk_level
fish-081,081,龍膽石斑,Etelis coruscans,assets/fish/icons/generated/081.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Fis01167_%2828136581836%29.jpg/330px-Fis01167_%2828136581836%29.jpg,data\fish_audit4\photo_cache\fish-081.jpg,"#F0F0F0,#101010,#303010","#101010,#F0B030,#D09010",0.8913,7.21,40.14,32.92,中風險
fish-082,082,箱魨,,assets/fish/icons/generated/082.png,https://inaturalist-open-data.s3.amazonaws.com/photos/670113432/large.jpg,data\fish_audit4\photo_cache\fish-082.jpg,"#F0F0F0,#101010,#B0F0F0","#509090,#307050,#509070",0.9989,1.60,26.29,24.69,高風險
fish-083,083,扳機魚,,assets/fish/icons/generated/083.png,https://inaturalist-open-data.s3.amazonaws.com/photos/656945904/large.jpg,data\fish_audit4\photo_cache\fish-083.jpg,"#F0F0F0,#101030,#303050","#507090,#7090B0,#5070B0",0.8619,36.33,15.61,20.73,中風險
fish-084,084,橙點馬面魨,,assets/fish/icons/generated/084.png,https://inaturalist-open-data.s3.amazonaws.com/photos/323196991/large.jpg,data\fish_audit4\photo_cache\fish-084.jpg,"#1070D0,#F0F0F0,#505030","#B07030,#905030,#503010",0.8484,33.10,37.49,4.39,中風險
fish-085,085,長帆馬面魨,Diplodus lineatus,assets/fish/icons/generated/085.png,https://inaturalist-open-data.s3.amazonaws.com/photos/662689093/large.jpg,data\fish_audit4\photo_cache\fish-085.jpg,"#F0F0F0,#1070D0,#90F0F0","#303050,#709090,#103050",0.9816,37.91,21.45,16.45,高風險
fish-086,086,蝶魚,,assets/fish/icons/generated/086.png,https://inaturalist-open-data.s3.amazonaws.com/photos/670221573/large.jpg,data\fish_audit4\photo_cache\fish-086.jpg,"#F0F0F0,#F0D010,#101030","#507090,#5090B0,#5070B0",0.9917,38.84,4.91,33.93,高風險
fish-087,087,鸚哥魚,,assets/fish/icons/generated/087.png,https://inaturalist-open-data.s3.amazonaws.com/photos/670241162/large.jpg,data\fish_audit4\photo_cache\fish-087.jpg,"#F0F0F0,#1050D0,#1090F0","#305030,#50B090,#103010",0.9286,46.82,18.32,28.50,高風險
fish-088,088,泥鯭,Jordanella floridae,assets/fish/icons/generated/088.png,https://inaturalist-open-data.s3.amazonaws.com/photos/668621658/large.jpg,data\fish_audit4\photo_cache\fish-088.jpg,"#901010,#D01010,#701010","#F0F0F0,#503030,#705050",0.7157,42.74,52.13,9.39,低風險
fish-089,089,三點雀鯛,,assets/fish/icons/generated/089.png,https://inaturalist-open-data.s3.amazonaws.com/photos/315467921/large.jpg,data\fish_audit4\photo_cache\fish-089.jpg,"#D0F0F0,#D0D0F0,#F0F0F0","#105030,#305030,#507030",0.9677,19.83,28.89,9.06,中風險
fish-090,090,天竺鯛,,assets/fish/icons/generated/090.png,https://inaturalist-open-data.s3.amazonaws.com/photos/670200308/large.jpg,data\fish_audit4\photo_cache\fish-090.jpg,"#F0F0F0,#1070D0,#1050D0","#70B0D0,#70B0B0,#5090B0",0.9609,32.68,16.05,16.63,中風險
fish-091,091,星點笛鯛,Lutjanus stellatus,assets/fish/icons/generated/091.png,https://inaturalist-open-data.s3.amazonaws.com/photos/631342707/large.jpg,data\fish_audit4\photo_cache\fish-091.jpg,"#F0F0F0,#1050B0,#1070D0","#70D0B0,#70B090,#70D090",0.9704,43.11,7.01,36.10,高風險
